what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608764930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608770330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608810221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1319608810243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608827645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608833184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608833289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608836530
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.navigate.open.type",1319608836537
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1319608844234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608846189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608847631
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319608847735
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1319608848748
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1319608848750
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1319609100840
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1319609100841
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1319609100841
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1319609100842
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1319609100843
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1319609100843
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1319609100844
